
2024/10/24 (09:38:48) | ===> btop++ v.1.3.0
2024/10/24 (09:38:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/24 (09:49:24) | ===> btop++ v.1.3.0
2024/10/24 (09:49:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/01 (16:13:49) | ===> btop++ v.1.3.0
2024/11/01 (16:13:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/04 (11:01:05) | ===> btop++ v.1.3.0
2024/11/04 (11:01:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/05 (18:36:32) | ===> btop++ v.1.3.0
2024/11/05 (18:36:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/05 (18:45:08) | INFO: Logger set to INFO
2024/11/05 (18:45:08) | INFO: Logger set to DEBUG
2024/11/05 (18:45:12) | INFO: Logger set to INFO

2024/11/18 (14:41:39) | ===> btop++ v.1.3.0
2024/11/18 (14:41:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/08 (15:15:45) | ===> btop++ v.1.3.0
2024/12/08 (15:15:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/08 (15:18:02) | ===> btop++ v.1.3.0
2024/12/08 (15:18:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/14 (11:14:51) | ===> btop++ v.1.3.0
2024/12/14 (11:14:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/17 (11:22:00) | ===> btop++ v.1.3.0
2024/12/17 (11:22:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/17 (11:54:18) | ===> btop++ v.1.3.0
2024/12/17 (11:54:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/17 (12:15:22) | ERROR: Stall in Runner thread, restarting!

2025/01/11 (06:46:17) | ===> btop++ v.1.3.0
2025/01/11 (06:46:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/11 (23:50:37) | ===> btop++ v.1.3.0
2025/01/11 (23:50:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/13 (12:43:59) | ===> btop++ v.1.3.0
2025/01/13 (12:43:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/15 (22:35:04) | ===> btop++ v.1.3.0
2025/01/15 (22:35:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/25 (17:43:09) | ===> btop++ v.1.3.0
2025/01/25 (17:43:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/25 (17:43:18) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/01/25 (17:43:20) | ===> btop++ v.1.3.0
2025/01/25 (17:43:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/25 (17:43:34) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/01/25 (17:43:36) | ===> btop++ v.1.3.0
